0,0,1
0,0,1
0,0,1
0,0,1
0.6251101,0.09046197,0.6692178
0,0,1
0.6251101,0.09046197,0.6692178
0.5348068,0.9386622,0.1421137
0,0,1
0.5348068,0.9386622,0.1421137
0,0,1
0,0,1
0,0,1
0.2822809,0.3012912,0.6354823
0.2822809,0.3012912,0.6354823
0.6251101,0.09046197,0.6692178
0.6251101,0.09046197,0.6692178
0.5348068,0.9386622,0.1421137
0.8746519,0.0419544,0.01821434
0.5348068,0.9386622,0.1421137
0,0,1
0.05806243,0.6574368,0.7030617
0.8018869,0.7360605,0.5866722
0.8018869,0.7360605,0.5866722
0,0,1
0.6251101,0.09046197,0.6692178
0.6251101,0.09046197,0.6692178
0.3760337,0.4095775,0.6433491
0.8746519,0.0419544,0.01821434
0.6251101,0.09046197,0.6692178
0,0,1
0.8018869,0.7360605,0.5866722
0.05806243,0.6574368,0.7030617
0,0,1
0.8018869,0.7360605,0.5866722
0,0,1
0.6251101,0.09046197,0.6692178
0.6251101,0.09046197,0.6692178
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0,0,1
0,0,1
0,0,1
0,0,1
0.5348068,0.9386622,0.1421137
0.5348068,0.9386622,0.1421137
0,0,1
0.3760337,0.4095775,0.6433491
0.7131331,0.5720355,0.03038514
0.7131331,0.5720355,0.03038514
0,0,1
0,0,1
0,0,1
0.5348068,0.9386622,0.1421137
0.5348068,0.9386622,0.1421137
0,0,1
0.3760337,0.4095775,0.6433491
0.7131331,0.5720355,0.03038514
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.7131331,0.5720355,0.03038514
0.3760337,0.4095775,0.6433491
0,0,1
0,0,1
0,0,1
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.7131331,0.5720355,0.03038514
0.7131331,0.5720355,0.03038514
0,0,1
0,0,1
0,0,1
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.4263332,0.130128,0.4505493
0.4263332,0.130128,0.4505493
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0,0,1
0,0,1
0,0,1
0,0,1
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.3760337,0.4095775,0.6433491
0.4263332,0.130128,0.4505493
0.3760337,0.4095775,0.6433491
0,0,1
