2,2,1,0.930103
3,1,1,1.700166
3,2,1,0.9638921
3,3,1,0.2424764
3,7,1,0.9740718
3,2,2,0.929777
4,1,2,1.697809
4,2,2,1.716103
4,3,2,2.184034
4,4,2,0.4828339
4,5,2,1.185686
4,6,2,0.240567
5,1,2,0.9323748
5,2,2,0.2407513
5,3,2,1.679389
5,4,2,0.7398893
4,2,3,0.2407513
4,3,3,2.433555
4,4,3,0.4103132
0,9,4,-0.4576173
1,8,4,0.6789626
2,8,4,0.9347699
5,3,4,4.000545
7,3,4,2.988634
2,3,5,8.678216
2,4,5,5.039446
2,5,5,8.096145
2,6,5,4.217822
2,8,5,1.015985
5,3,5,10.24945
5,5,5,9.389007
6,2,5,2.288363
6,3,5,7.980675
7,1,5,1.192083
2,2,6,18.98012
2,4,6,5.664221
2,5,6,11.04911
2,6,6,4.726949
2,7,6,0.9231343
2,8,6,0.2232732
3,2,6,9.807216
3,3,6,11.87404
3,7,6,7.161554
3,8,6,2.699593
5,2,6,14.98564
5,3,6,9.570629
5,4,6,26.42698
5,7,6,5.679861
8,0,6,0.2426169
2,2,7,6.795495
2,4,7,11.06017
2,5,7,2.840665
2,7,7,5.286755
2,8,7,-0.4555756
3,3,7,5.568175
4,1,7,4.456477
4,2,7,16.26551
4,3,7,5.66682
4,4,7,7.798827
4,7,7,3.350019
6,3,7,9.616264
6,4,7,2.608223
8,7,7,0.4996489
1,5,8,0.1072195
2,5,8,0.2191195
3,1,8,6.804588
3,2,8,6.711217
3,5,8,5.292018
3,6,8,5.392111
7,5,8,2.823363
7,6,8,3.597497
